Title,Year,Rating,Genre,Director,Language,Country,Type
Pop Star,2013,PG,"Drama, Romance",Carlos Portugal,English,USA,movie
Truth and Consequences,2013,TV-MA,"Action, Crime, Drama",Jon Avnet,English,USA,episode
Parker,2013,R,"Action, Crime, Thriller",Taylor Hackford,English,USA,movie
Standing Up,2013,PG,Drama,D.J. Caruso,English,USA,movie
As Cool as I Am,2013,R,"Comedy, Drama",Max Mayer,English,USA,movie
Crackerjack,2013,PG-13,Comedy,Bryan Coley,English,USA,movie
The Call,2013,R,"Crime, Thriller",Brad Anderson,English,USA,movie
Vehicle 19,2013,R,"Action, Thriller",Mukunda Michael Dewil,English,USA,movie
Nurse 3D,2013,R,"Horror, Thriller",Douglas Aarniokoski,English,USA,movie
Zombex,2013,R,"Horror, Sci-Fi, Thriller",Jesse Dayton,English,USA,movie
California Scheming,2014,R,Thriller,Marco Weber,English,USA,movie
Phantom,2013,R,"History, Thriller, War",Todd Robinson,English,USA,movie
The Investigator,2013,PG-13,"Drama, Family, Sport",Curtis Graham,English,USA,movie
Let's Be Cops,2014,R,Comedy,Luke Greenfield,English,USA,movie
Officer Down,2013,R,"Crime, Drama",Brian A Miller,English,USA,movie
Texas Chainsaw 3D,2013,R,"Horror, Thriller",John Luessenhop,English,USA,movie
Heaven Is for Real,2014,PG,Drama,Randall Wallace,English,USA,movie
Red Line,2013,R,Thriller,Robert Kirbyson,English,USA,movie
Very Good Girls,2013,R,Drama,Naomi Foner,English,USA,movie
Breakup at a Wedding,2013,PG-13,Comedy,Victor Quinaz,English,USA,movie
Carrie,2013,R,"Drama, Horror",Kimberly Peirce,English,USA,movie
Everly,2014,R,"Action, Thriller",Joe Lynch,English,USA,movie
Crazy Kind of Love,2013,R,"Comedy, Drama, Romance",Sarah Siegel-Magness,English,USA,movie
Child of God,2013,R,"Crime, Drama, Thriller",James Franco,English,USA,movie
The Hangover Part III,2013,R,Comedy,Todd Phillips,English,USA,movie
The Hunger Games: Catching Fire,2013,PG-13,"Adventure, Sci-Fi",Francis Lawrence,English,USA,movie
The Hunger Games: Mockingjay - Part 1,2014,PG-13,"Adventure, Sci-Fi",Francis Lawrence,English,USA,movie
Sex Tape,2014,R,Comedy,Jake Kasdan,English,USA,movie
Noah,2014,PG-13,"Action, Adventure, Drama",Darren Aronofsky,English,USA,movie
Reach Me,2014,R,Drama,John Herzfeld,English,USA,movie
Hide Your Smiling Faces,2013,Not Rated,Drama,Daniel Patrick Carbone,English,USA,movie
Boys of Abu Ghraib,2014,R,"Drama, Thriller, War",Luke Moran,English,USA,movie
Labor Day,2013,PG-13,Drama,Jason Reitman,English,USA,movie
Infinitely Polar Bear,2014,R,"Comedy, Drama",Maya Forbes,English,USA,movie
The Best of Me,2014,PG-13,"Drama, Romance",Michael Hoffman,English,USA,movie
Things Never Said,2013,R,Drama,Charles Murray,English,USA,movie
Love and Honor,2013,PG-13,"Drama, Romance, War",Danny Mooney,English,USA,movie
Pain & Gain,2013,R,"Action, Comedy, Crime",Michael Bay,English,USA,movie
Begin Again,2013,R,"Comedy, Drama, Music",John Carney,English,USA,movie
Paradise,2013,PG-13,"Comedy, Drama",Diablo Cody,English,USA,movie
Thor: The Dark World,2013,PG-13,"Action, Adventure, Fantasy",Alan Taylor,English,USA,movie
Killer Holiday,2013,R,"Horror, Thriller",Marty Thomas,English,USA,movie
Mind-Sifter,2014,TV-PG,"Action, Adventure, Sci-Fi",Mark Edward Lewis,English,USA,episode
Altergeist,2014,R,"Horror, Sci-Fi, Thriller",Tedi Sarafian,English,USA,movie
The Wicked,2013,Not Rated,"Fantasy, Horror, Thriller",Peter Winther,English,USA,movie
Tio Papi,2013,PG,"Comedy, Drama, Family",Fro Rojas,English,USA,movie
Exists,2014,R,Horror,Eduardo S�nchez,English,USA,movie
10 Rules for Sleeping Around,2014,R,"Comedy, Romance",Leslie Greif,English,USA,movie
Breathe In,2013,R,"Drama, Romance",Drake Doremus,English,USA,movie
A Decade of Decadence: The Final Goodbye,2013,R,"Documentary, Short, Biography",Drew Glick,English,USA,movie
I Really Hate My Ex,2014,R,Romance,Troy Byer,English,USA,movie
King's Faith,2013,PG-13,Drama,Nicholas DiBella,English,USA,movie
Sanatorium,2013,R,Thriller,Brant Sersen,English,USA,movie
Neighbors,2014,R,Comedy,Nicholas Stoller,English,USA,movie
The Frozen Ground,2013,R,"Biography, Crime, History",Scott Walker,English,USA,movie
Disciples,2014,R,Horror,Joe Hollow,English,USA,movie
No Good Deed,2014,PG-13,"Crime, Thriller",Sam Miller,English,USA,movie
Repentance,2013,R,"Horror, Thriller",Philippe Caland,English,USA,movie
A Strange Brand of Happy,2013,PG-13,Comedy,Brad Wise,English,USA,movie
All Is Lost,2013,PG-13,"Action, Adventure, Drama",J.C. Chandor,English,USA,movie
Kink,2013,Unrated,"Documentary, Biography",Christina Voros,English,USA,movie
Identity Thief,2013,R,"Comedy, Crime",Seth Gordon,English,USA,movie
Straight A's,2013,R,"Comedy, Drama",James Cox,English,USA,movie
Blue Caprice,2013,R,"Biography, Crime, Drama",Alexandre Moors,English,USA,movie
Laggies,2014,R,"Comedy, Romance",Lynn Shelton,English,USA,movie
Night Moves,2013,R,"Drama, Thriller",Kelly Reichardt,English,USA,movie
Glen Campbell: I'll Be Me,2014,PG,"Documentary, Biography, Drama",James Keach,English,USA,movie
